Site,County,Location,Site type,Element,Age,Sex,Lab code,14C BP,±,  95% cal BC,cal BC,median,d13C,d15N,C:N,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",N/A,I,UBA-35066,3561,49,2030,1756,1908,-21.5,11.1,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",adult,I,UBA-39201,3334,29,1690,1529,1622,-20.8,10.2,3.2,,,,,
Primrose Grange,Sligo,coastal,court tomb,"tooth, canine",yng adult,F,Beta-446171,4950,30,3786,3657,3725,-20.8,8.9,N/A,,,,,
Primrose Grange,Sligo,coastal,court tomb,"tooth, M3",adult,M,Beta-446181,4940,30,3777,3654,3709,-20.9,9.7,N/A,,,,,
Primrose Grange,Sligo,coastal,court tomb,"tooth, M2",adult,M,Beta-446182,4920,30,3766,3647,3689,-20.5,10.0,N/A,,,,,
Primrose Grange,Sligo,coastal,court tomb,"tooth, M3",adult,M,Beta-446178,4930,30,3771,3651,3698,-21.2,10.9,N/A,,,,,
Primrose Grange,Sligo,coastal,court tomb,"tooth, M1, M2",adult,M,Beta-468277,4920,30,3766,3647,3689,-20.4,9.4,N/A,,,,,
Primrose Grange,Sligo,coastal,court tomb,"tooth, M1?",yng adult,M,Beta-446180,4830,30,3694,3527,3630,-21.0,11.0,N/A,,,,,
Primrose Grange,Sligo,coastal,court tomb,"tooth, PM",yng adult,M,Beta-446176,4780,30,3641,3519,3569,-21.3,10.3,N/A,,,,,
Primrose Grange,Sligo,coastal,court tomb,"tooth, M2",yng adult,M,Beta-448276,4640,30,3516,3358,3460,-20.6,10.9,N/A,,,,,
Primrose Grange,Sligo,coastal,court tomb,"tooth, PM, M1",yng adult,M,Beta-446174/5,4620,22,3620,3367,3449,-21.4,9.8,N/A,,,,,
Primrose Grange,Sligo,coastal,court tomb,"tooth, LCI, RCI",adult,F,Beta-446177,4740,30,3635,3379,3562,-21.5,11.7,N/A,,,,,
Primrose Grange,Sligo,coastal,court tomb,"tooth, dm2, I",child,M,Beta-446179,4690,30,3627,3371,3446,-21.5,12.6,N/A,,,,,
Primrose Grange,Sligo,coastal,court tomb,"tooth, M1?",yng adult,M,Beta-446180,4830,30,3694,3527,3630,-21.0,11.0,N/A,,,,,
Rockmarshall,Louth,coastal,shellmidden,femur,adult,I,OxA-4604,5705,75,4714,4370,4552,-20.1,10.7,N/A,,,,,
Sramore,Leitrim,inland,cave,mandible,adult,M,UB-15772,5227,36,4227,3963,4024,-20.4,8.5,3.2,,,,,
Stoneyisland,Galway,inland,bog burial,N/A,adult,M,UB-15765,6168,31,5215,5027,5126,-21.4,11.8,3.6,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
